,precision,recall,f1-score,support
Salurnis marginella Guerr,0.7707006369426752,0.8231292517006803,0.7960526315789475,147.0
Deporaus marginatus Pascoe,0.6515151515151515,0.6825396825396826,0.6666666666666666,63.0
Chlumetia transversa,0.5,0.6413043478260869,0.5619047619047619,92.0
Mango flat beak leafhopper,0.33962264150943394,0.6428571428571429,0.4444444444444444,28.0
Rhytidodera bowrinii white,0.7894736842105263,0.718562874251497,0.7523510971786833,167.0
Sternochetus frigidus,0.765625,0.7101449275362319,0.736842105263158,138.0
Cicadellidae,0.9440242057488654,0.7243180499129426,0.819704433497537,1723.0
accuracy,0.7192625668685618,0.7192625668685618,0.7192625668685618,0.7192625668685618
macro avg,0.6398841843432668,0.6984737482651856,0.6604408449204524,22619.0
weighted avg,0.7427315547108464,0.7192625668685618,0.7241140613466138,22619.0
