epoch,train_loss,train_acc,val_loss,val_acc
1,2.776194075523505,0.35105887570684113,1.4088794905325168,0.34949387320191794
2,1.3180148622257137,0.6922940459030935,1.2880842930215055,0.4601758124667022
3,1.111643330902043,0.7848541966958643,1.2283261537742411,0.5213106020245072
4,0.9963554322712965,0.8405809956757956,1.1858483828250943,0.5935002663825253
5,0.9368559299888362,0.8715822153232066,1.1692028940835404,0.5924347362813
6,0.8972559584536618,0.892404922940459,1.1597811422198137,0.615210442194992
7,0.8668237352241683,0.909967845659164,1.1618369038141847,0.6397176345231753
8,0.8438872822518755,0.9240935802195366,1.157119297479529,0.6478423015450187
9,0.8242606137514987,0.9343164430646413,1.1507936292781942,0.6586307938199254
10,0.8136108138394972,0.9394167867834572,1.1540807216930846,0.6732818327117741
11,0.7975637517161506,0.9481982481428096,1.150992630229202,0.682605221097496
12,0.7868108154559217,0.9548730457922164,1.1444726160186114,0.702184336707512
13,0.7763041837567805,0.9601729681782902,1.1534503249647012,0.7019179541822056
14,0.7680582972518726,0.9651402594522674,1.1518512546984387,0.7027171017581246
15,0.7615356954638453,0.968998780352589,1.152256772596911,0.7129728289824188
16,0.7552548841489553,0.9728794766603837,1.153332796418165,0.7205647309536495
17,0.7522957028564401,0.975518350149684,1.1551483278269454,0.7222962173681406
18,0.7486024521449041,0.9775806630446835,1.157233594736649,0.7234949387320192
19,0.7473933112411147,0.9790442399379089,1.1573792533729708,0.723361747469366
20,0.7496600446038585,0.9782015744539306,1.157390598261299,0.7234949387320192
